depth,vp,vs
-2.0,3.0,1.7320508075688774
-1.0,4.0,2.3094010767585034
0.0,5.0,2.886751345948129
1.0,5.0,2.886751345948129
2.0,5.125,2.9589201295968324
3.0,5.25,3.0310889132455356
4.0,5.375,3.1032576968942385
5.0,5.5,3.1754264805429417
6.0,6.3,3.6373066958946425
7.0,6.3,3.6373066958946425
8.0,6.3,3.6373066958946425
9.0,6.3,3.6373066958946425
10.0,6.3,3.6373066958946425
11.0,6.318181818181818,3.647803973516272
12.0,6.336363636363636,3.6583012511379014
13.0,6.3545454545454545,3.668798528759531
14.0,6.372727272727273,3.6792958063811607
15.0,6.3909090909090915,3.689793084002791
16.0,6.550000000000001,3.7816442631920495
17.0,6.704545454545454,3.8708711229759
18.0,6.713636363636364,3.876119761786715
19.0,6.722727272727273,3.88136840059753
20.0,6.7318181818181815,3.8866170394083444
21.0,6.740909090909091,3.8918656782191596
22.0,6.75,3.897114317029974
23.0,6.7555555555555555,3.900321818525472
24.0,6.761111111111111,3.90352932002097
25.0,6.7666666666666675,3.906736821516468
26.0,6.772222222222222,3.909944323011966
27.0,6.777777777777778,3.9131518245074637
28.0,6.783333333333333,3.9163593260029614
29.0,6.788888888888889,3.9195668274984596
30.0,6.794444444444444,3.9227743289939574
31.0,6.8,3.925981830489455
32.0,7.3,4.214656965084268
33.0,7.8,4.503332099679081
50.0,8.0,4.624277456647399
